GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
08014014025,2838,2045,1620,149,27,33,222,8,425,10008,4102,5571,335
08014014030,1663,1301,978,194,32,43,51,1,323,5413,2213,2850,350
08014014029,1688,1321,973,208,26,41,67,4,348,5961,2464,3201,296
08014014028,1952,1283,444,715,32,59,35,7,839,2251,913,1202,136
08014014031,1442,1082,811,172,15,20,51,1,271,4890,2086,2547,257
08014014027,2341,1800,1308,261,41,70,115,2,492,7405,2696,4298,411
08014014022,1832,1477,1143,142,23,53,118,7,334,6500,2521,3706,273
08014014021,3107,2280,1547,438,21,62,191,7,733,9184,3189,5481,514
08014014023,1617,1182,910,118,9,24,124,1,272,5599,2162,3232,205
08014014017,2024,1465,1194,68,26,23,149,2,271,8061,3784,4006,271
08014014012,1416,1192,1027,67,15,22,52,1,165,6332,2737,3406,189
08014014010,1481,1127,920,89,13,19,81,5,207,5906,2488,3189,229
08014014033,2678,1759,1352,161,42,24,179,0,407,8531,3189,5071,271
08014014032,3208,2368,1713,206,24,45,356,2,655,10630,4186,6137,307
08014014002,3531,3281,2353,342,112,89,378,22,928,9852,2688,6651,513
08014014003,2558,2352,1755,261,83,38,207,5,597,7442,2015,5055,372
08014014001,1983,1895,1596,157,32,35,83,1,299,5890,2023,3683,184
08014014004,2476,1992,1532,220,47,53,116,9,460,8463,2943,5089,431
08014014005,286,188,94,66,13,8,7,0,94,370,103,246,21
08014014026,1680,1162,955,73,14,12,95,1,207,6187,2665,3340,182
08014014036,4680,2906,2166,243,37,50,385,9,740,12244,5008,6807,429
08014014034,846,586,530,21,4,3,20,1,56,3158,2051,1029,78
08014014035,2199,2184,2104,18,5,9,32,2,80,11296,4334,6817,145
08014014037,2005,1474,942,179,40,29,293,3,532,3476,1474,1895,107
08015015006,2041,1761,1569,114,6,44,7,1,192,9231,4293,4578,360
08015015007,1935,1611,1439,116,5,36,17,0,172,7363,2637,4398,328
08015015009,1915,1586,1257,205,16,68,18,5,329,6514,2167,4029,318
08015015008,1891,1583,1364,131,16,44,21,3,219,7252,1877,5056,319
08015015005,2271,1849,1643,118,3,49,32,4,206,8489,4299,3888,302
08015015004,1089,987,905,32,4,26,14,1,82,5291,3201,1933,157
08015015003,4178,3594,2592,552,258,132,42,8,1002,10781,5659,4570,552
08015015001,1632,1416,1300,57,9,35,10,5,116,7155,3923,2941,291
08015015002,2524,2084,1806,132,17,60,29,9,278,9356,5358,3570,428
08017017001,200,149,134,10,5,3,4,2,15,690,614,66,10
08017017002,481,387,352,21,2,5,5,0,35,1772,1499,214,59
08017017003,574,450,384,55,6,24,2,1,66,2110,1763,278,69
08017017004,404,292,239,38,3,8,1,1,53,1470,1190,248,32
08017017005,89,60,59,1,0,0,0,0,1,361,300,58,3
08019019009,1308,1110,999,56,4,28,6,0,111,5800,2694,2899,207
